score,created_at
-0.21,2018-07-01
-0.4000000000000001,2018-06-01
-0.43,2018-05-01
-0.6400000000000001,2018-04-01
0.24000000000000002,2018-03-01
-1.3700000000000003,2018-02-01
-0.08000000000000002,2018-01-01
-0.3499999999999999,2017-12-01
0.2,2017-11-01
-0.5000000000000001,2017-10-01
-0.07000000000000002,2017-09-01
-0.15,2017-08-01
-0.6599999999999996,2017-07-01
-0.92,2017-06-01
-0.38999999999999996,2017-05-01
0.24999999999999994,2017-04-01
-0.25999999999999995,2017-03-01
-0.5800000000000001,2017-02-01
-1.13,2017-01-01
-0.050000000000000044,2016-12-01
-0.01999999999999999,2016-11-01
-5.710000000000001,2016-10-01
-2.04,2016-09-01
-2.420000000000001,2016-08-01
-6.129999999999997,2016-07-01
-1.8800000000000006,2016-06-01
-3.55,2016-05-01
-0.3400000000000001,2016-04-01
-0.5199999999999998,2016-03-01
-0.3199999999999999,2016-02-01
-0.6199999999999999,2016-01-01
-0.43000000000000016,2015-12-01
-0.5599999999999999,2015-11-01
-0.019999999999999775,2015-10-01
-0.21,2015-09-01
-0.030000000000000027,2015-08-01
-0.7799999999999998,2015-07-01
0.5000000000000003,2015-06-01
-0.36,2015-05-01
1.5099999999999996,2015-04-01
-4.163336342344337e-17,2015-03-01
0.8599999999999999,2015-02-01
0.9299999999999999,2015-01-01
-0.12999999999999984,2014-12-01
-0.5499999999999997,2014-11-01
-2.8400000000000003,2014-10-01
-1.0799999999999998,2014-09-01
-0.7300000000000001,2014-08-01
-0.27000000000000024,2014-07-01
0.4499999999999997,2014-06-01
-0.7199999999999999,2014-05-01
1.48,2014-04-01
0.0300000000000001,2014-03-01
-0.44999999999999996,2014-02-01
0.4400000000000003,2014-01-01
-0.029999999999999916,2013-12-01
-2.4000000000000004,2013-11-01
-0.029999999999999964,2013-10-01
-2.6999999999999993,2013-09-01
-1.6700000000000006,2013-08-01
-0.14000000000000004,2013-07-01
-0.19000000000000006,2013-06-01
-1.7799999999999994,2013-05-01
0.5300000000000001,2013-04-01
0.17000000000000018,2013-03-01
-0.06999999999999998,2013-02-01
0.7000000000000004,2013-01-01
0.23000000000000004,2012-12-01
-2.6999999999999997,2012-11-01
-0.2700000000000008,2012-10-01
-2.0500000000000003,2012-09-01
-0.8800000000000003,2012-08-01
-0.86,2012-07-01
0.7500000000000001,2012-06-01
-0.5900000000000002,2012-05-01
0.2,2012-04-01
-1.2100000000000002,2012-03-01
-0.9299999999999999,2012-02-01
-1.3400000000000005,2012-01-01
-0.13999999999999993,2011-12-01
-1.3600000000000005,2011-11-01
-0.6400000000000001,2011-10-01
-0.19999999999999996,2011-09-01
-0.13,2011-08-01
-0.42999999999999994,2011-07-01
0.07,2010-12-01
0.14,2010-11-01
0.06,2010-10-01
0.13,2010-08-01
0.11,2010-07-01
0.04,2010-06-01
0.03,2010-05-01
0.05,2010-04-01
-0.020000000000000004,2010-03-01
0.03,2009-07-01
0.04,2009-05-01
